商品名,价格,产地,商店名,链接,同店同种商品数
2016秋冬新款女包韩版双肩包百搭两用背包女士旅行包包学院风书包,168.00,浙江金华,帝繄派旗舰店,https://detail.tmall.com/item.htm?&id=534290711273&ns=1&abbucket=10,1
2017夏新款牛津布双肩包女韩版个性尼龙帆布书包包休闲百搭背包潮,228.00 - 238.00,广东广州,佐迪旗舰店,https://detail.tmall.com/item.htm?&id=550934573985&ns=1&abbucket=10,1
2017新款双肩包女韩版时尚简约百搭女包包学院风学生书包双肩背包,158.00,北京,碧洛迪丝箱包旗舰店,https://detail.tmall.com/item.htm?&id=535839018409&ns=1&abbucket=10,6
2017新款双肩包女韩版潮简约百搭时尚双肩背包校园学院风学生书包,168.00 - 178.00,北京,碧洛迪丝箱包旗舰店,https://detail.tmall.com/item.htm?&id=540742230879&ns=1&abbucket=10,6
2017新款双肩包男韩版商务休闲男士背包大学生书包潮流旅行电脑包,128.00 - 138.00,上海,希卡旗舰店,https://detail.tmall.com/item.htm?&id=549727666570&ns=1&abbucket=10,3
2017新款女包夏天小包包老花小双肩包女迷你背包单肩斜挎小包书包,69.90 - 79.90,北京,代代花枳旗舰店,https://detail.tmall.com/item.htm?&id=545873840927&ns=1&abbucket=10,0
2017新款女双肩包韩版夏季个性背包校园学生书包百搭女士小包包潮,149.00,广东广州,芳妃箱包旗舰店,https://detail.tmall.com/item.htm?&id=549458476520&ns=1&abbucket=10,1
2017新款女士双肩包女韩版时尚个性百搭迷你小包包潮书包背包女包,88.00,湖南长沙,牧霖枫旗舰店,https://detail.tmall.com/item.htm?&id=553043508407&ns=1&abbucket=10,1
2017新款女士背包双肩包 女包学生书包韩版潮流时尚旅行PU背包女,128.00 - 132.00,广东广州,米格莱思旗舰店,https://detail.tmall.com/item.htm?&id=44540603196&ns=1&abbucket=10,5
2017新款妈咪双肩包女韩版百搭书包个性潮时尚女士包包学生小背包,188.00,广东广州,heareem旗舰店,https://detail.tmall.com/item.htm?&id=548784032823&ns=1&abbucket=10,2
2017新款尼龙双肩包女背包牛津布时尚简约韩版帆布休闲学院风书包,508.00 - 518.00,北京,sybecca旗舰店,https://detail.tmall.com/item.htm?&id=525170417721&ns=1&abbucket=10,1
2017新款彩条双肩包女韩版百搭旅行小背包时尚书包迷你包牛津布包,98.00,广东广州,米格莱思旗舰店,https://detail.tmall.com/item.htm?&id=546309684022&ns=1&abbucket=10,5
2017新款方扣尼龙双肩包女包牛津布大容量旅行背包韩版书包锁扣,39.90,北京,柏斯菲旗舰店,https://detail.tmall.com/item.htm?&id=536522001000&ns=1&abbucket=10,10
2017新款潮书包牛津布双肩包女韩版帆布背包时尚女包学院风旅行包,98.00,广东广州,米格莱思旗舰店,https://detail.tmall.com/item.htm?&id=540976227787&ns=1&abbucket=10,5
2017新款潮女士pu双肩包女韩版时尚百搭小背包休闲书包简约女包包,188.00,河北保定,jushion聚尚旗舰店,https://detail.tmall.com/item.htm?&id=547025097536&ns=1&abbucket=10,8
2017新款潮女士双肩包韩版pu个性百搭书包时尚背包女包妈咪包包夏,188.00,河北保定,jushion聚尚旗舰店,https://detail.tmall.com/item.htm?&id=547287444974&ns=1&abbucket=10,8
2017新款潮女士双肩包韩版个性百搭书包背包时尚简约pu妈咪包包夏,138.00,浙江杭州,木佰旗舰店,https://detail.tmall.com/item.htm?&id=546515778506&ns=1&abbucket=10,1
2017新款背包双肩包女包韩版学院风女士包包潮pu百搭尼龙书包,39.90,天津,柏斯菲旗舰店,https://detail.tmall.com/item.htm?&id=549939647259&ns=1&abbucket=10,10
2017新款韩版牛津布迷你小背包旅行百搭尼龙双肩包帆布书包女包包,79.90,河北保定,安朵拉旗舰店,https://detail.tmall.com/item.htm?&id=551859600124&ns=1&abbucket=10,1
aza旅行包2017新款男女百搭背包阿扎潮大容量书包韩版休闲双肩包b,245.00,上海,aza旗舰店,https://detail.tmall.com/item.htm?&id=544140425072&ns=1&abbucket=10,2
B.Duck小黄鸭3D鸭嘴双肩包女牛津布背包韩版学生书包可爱旅行女包,498.00,广东惠州,semk旗舰店,https://detail.tmall.com/item.htm?&id=540405963853&ns=1&abbucket=10,3
coolbaby书包小学生1-3-5年级女孩女童双肩包6-12周岁儿童背包,188.00 - 198.00,湖南邵阳,酷儿宝贝旗舰店,https://detail.tmall.com/item.htm?&id=551333852246&ns=1&abbucket=10,2
Dickies爆款双肩包男女简约潮流学生包小背包书包字母印花包C020,539.00,广东广州,dickies鼎骏专卖店,https://detail.tmall.com/item.htm?&id=538223274148&ns=1&abbucket=10,4
Four One2017新款双肩女潮休闲背包涂鸦书包韩版百搭个性PU妈咪包,168.00 - 228.00,广东广州,fourone旗舰店,https://detail.tmall.com/item.htm?&id=537586656039&ns=1&abbucket=10,2
HK双肩包男休闲旅行背包电脑包韩版时尚潮流高中大学生男士书包,188.00,广东广州,hk箱包旗舰店,https://detail.tmall.com/item.htm?&id=544508665238&ns=1&abbucket=10,1
jty高初中学生书包女双肩包男韩版帆布学院风简约休闲大容量旅行,88.00 - 90.00,广东深圳,jty旗舰店,https://detail.tmall.com/item.htm?&id=550022251617&ns=1&abbucket=10,1
Larkpad儿童书包小学生书包6-12周岁男女生1-3年级减负护脊双肩包,278.00 - 298.00,广东深圳,larkpad玩具旗舰店,https://detail.tmall.com/item.htm?&id=41143682580&ns=1&abbucket=10,2
LOCCOT骆特双肩包男时尚潮流韩版大学生书包休闲简约旅行背包男,255.00,广东广州,loccot旗舰店,https://detail.tmall.com/item.htm?&id=548364192232&ns=1&abbucket=10,1
lozynn 文艺复古手提单肩包帆布袋书包布包男女款百搭单肩包,78.00,江苏盐城,lozynn罗绮旗舰店,https://detail.tmall.com/item.htm?&id=525147451419&ns=1&abbucket=10,1
Miffy米菲2017新款双肩包女士包韩版书包卡通包包可爱亮片背包潮,288.00,广东广州,米菲伟之林专卖店,https://detail.tmall.com/item.htm?&id=525558043397&ns=1&abbucket=10,6
